delivery_id,match_id,over,ball,batting_team,bowling_team,batsman,bowler,runs_batsman,runs_extras,total_runs
59,2,5,5,CSK,RCB,Shivam Dube,Faf du Plessis,0,0,0
60,2,5,6,CSK,RCB,MS Dhoni,Faf du Plessis,0,0,0
61,3,1,1,RR,RCB,Sanju Samson,Virat Kohli,1,0,1
62,3,1,2,RR,RCB,Yashasvi Jaiswal,Faf du Plessis,4,0,4
63,3,1,3,RR,RCB,Sanju Samson,Dinesh Karthik,0,0,0
64,3,1,4,RR,RCB,Jos Buttler,Dinesh Karthik,1,0,1
65,3,1,5,RR,RCB,Sanju Samson,Virat Kohli,6,0,6
66,3,1,6,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,1,0,1
67,3,2,1,RR,RCB,Yashasvi Jaiswal,Virat Kohli,1,0,1
68,3,2,2,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,0,0,0
69,3,2,3,RR,RCB,Jos Buttler,Dinesh Karthik,6,0,6
70,3,2,4,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,1,0,1
71,3,2,5,RR,RCB,Jos Buttler,Faf du Plessis,0,0,0
72,3,2,6,RR,RCB,Yashasvi Jaiswal,Virat Kohli,0,0,0
73,3,3,1,RR,RCB,Jos Buttler,Faf du Plessis,1,0,1
74,3,3,2,RR,RCB,Jos Buttler,Dinesh Karthik,1,0,1
75,3,3,3,RR,RCB,Yashasvi Jaiswal,Faf du Plessis,1,0,1
76,3,3,4,RR,RCB,Jos Buttler,Faf du Plessis,0,0,0
77,3,3,5,RR,RCB,Jos Buttler,Dinesh Karthik,1,0,1
78,3,3,6,RR,RCB,Sanju Samson,Virat Kohli,0,0,0
79,3,4,1,RR,RCB,Sanju Samson,Faf du Plessis,4,0,4
80,3,4,2,RR,RCB,Jos Buttler,Faf du Plessis,1,1,2
81,3,4,3,RR,RCB,Jos Buttler,Faf du Plessis,6,0,6
82,3,4,4,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,0,0,0
83,3,4,5,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,4,1,5
84,3,4,6,RR,RCB,Sanju Samson,Virat Kohli,1,0,1
85,3,5,1,RR,RCB,Jos Buttler,Virat Kohli,4,0,4
86,3,5,2,RR,RCB,Jos Buttler,Virat Kohli,1,0,1
87,3,5,3,RR,RCB,Jos Buttler,Faf du Plessis,6,0,6
88,3,5,4,RR,RCB,Yashasvi Jaiswal,Dinesh Karthik,4,0,4
89,3,5,5,RR,RCB,Sanju Samson,Faf du Plessis,1,1,2
90,3,5,6,RR,RCB,Sanju Samson,Dinesh Karthik,0,1,1
91,4,1,1,DC,PBKS,David Warner,Shikhar Dhawan,2,1,3
92,4,1,2,DC,PBKS,Prithvi Shaw,Jitesh Sharma,0,0,0
93,4,1,3,DC,PBKS,Rishabh Pant,Liam Livingstone,1,0,1
94,4,1,4,DC,PBKS,Rishabh Pant,Liam Livingstone,0,0,0
95,4,1,5,DC,PBKS,Prithvi Shaw,Jitesh Sharma,0,0,0
96,4,1,6,DC,PBKS,Prithvi Shaw,Liam Livingstone,6,0,6
97,4,2,1,DC,PBKS,Prithvi Shaw,Shikhar Dhawan,1,1,2
98,4,2,2,DC,PBKS,David Warner,Liam Livingstone,0,0,0
99,4,2,3,DC,PBKS,David Warner,Liam Livingstone,0,0,0
100,4,2,4,DC,PBKS,Prithvi Shaw,Jitesh Sharma,4,0,4
101,4,2,5,DC,PBKS,Prithvi Shaw,Liam Livingstone,1,0,1
102,4,2,6,DC,PBKS,Prithvi Shaw,Jitesh Sharma,1,0,1
103,4,3,1,DC,PBKS,Rishabh Pant,Liam Livingstone,0,0,0
104,4,3,2,DC,PBKS,Rishabh Pant,Shikhar Dhawan,2,0,2
105,4,3,3,DC,PBKS,David Warner,Shikhar Dhawan,1,0,1
106,4,3,4,DC,PBKS,Prithvi Shaw,Liam Livingstone,1,0,1
107,4,3,5,DC,PBKS,Prithvi Shaw,Liam Livingstone,4,1,5
108,4,3,6,DC,PBKS,David Warner,Shikhar Dhawan,0,0,0
109,4,4,1,DC,PBKS,David Warner,Jitesh Sharma,0,0,0
110,4,4,2,DC,PBKS,Prithvi Shaw,Liam Livingstone,1,0,1
111,4,4,3,DC,PBKS,David Warner,Shikhar Dhawan,0,0,0
112,4,4,4,DC,PBKS,David Warner,Shikhar Dhawan,1,0,1
113,4,4,5,DC,PBKS,Rishabh Pant,Liam Livingstone,2,0,2
114,4,4,6,DC,PBKS,Rishabh Pant,Shikhar Dhawan,4,0,4
115,4,5,1,DC,PBKS,David Warner,Jitesh Sharma,0,0,0
116,4,5,2,DC,PBKS,David Warner,Shikhar Dhawan,0,0,0
117,4,5,3,DC,PBKS,David Warner,Shikhar Dhawan,1,0,1
118,4,5,4,DC,PBKS,David Warner,Liam Livingstone,0,0,0
119,4,5,5,DC,PBKS,David Warner,Shikhar Dhawan,0,0,0
120,4,5,6,DC,PBKS,Prithvi Shaw,Shikhar Dhawan,0,0,0
121,5,1,1,RR,DC,Yashasvi Jaiswal,Rishabh Pant,1,0,1
122,5,1,2,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,6,1,7
123,5,1,3,RR,DC,Sanju Samson,Rishabh Pant,0,0,0
124,5,1,4,RR,DC,Sanju Samson,David Warner,2,0,2
125,5,1,5,RR,DC,Jos Buttler,Rishabh Pant,0,0,0
126,5,1,6,RR,DC,Sanju Samson,Rishabh Pant,1,0,1
127,5,2,1,RR,DC,Yashasvi Jaiswal,Rishabh Pant,0,0,0
128,5,2,2,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,0,0,0
129,5,2,3,RR,DC,Sanju Samson,David Warner,1,0,1
130,5,2,4,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,0,0,0
131,5,2,5,RR,DC,Jos Buttler,Prithvi Shaw,1,0,1
132,5,2,6,RR,DC,Jos Buttler,Rishabh Pant,4,0,4
133,5,3,1,RR,DC,Sanju Samson,Prithvi Shaw,0,0,0
134,5,3,2,RR,DC,Sanju Samson,David Warner,0,1,1
135,5,3,3,RR,DC,Sanju Samson,David Warner,1,1,2
136,5,3,4,RR,DC,Jos Buttler,David Warner,0,0,0
137,5,3,5,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,1,0,1
138,5,3,6,RR,DC,Jos Buttler,Prithvi Shaw,0,0,0
139,5,4,1,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,6,0,6
140,5,4,2,RR,DC,Sanju Samson,David Warner,1,0,1
141,5,4,3,RR,DC,Sanju Samson,Prithvi Shaw,4,0,4
142,5,4,4,RR,DC,Sanju Samson,David Warner,1,0,1
143,5,4,5,RR,DC,Sanju Samson,Rishabh Pant,2,0,2
144,5,4,6,RR,DC,Sanju Samson,Prithvi Shaw,1,0,1
145,5,5,1,RR,DC,Yashasvi Jaiswal,Rishabh Pant,0,0,0
146,5,5,2,RR,DC,Jos Buttler,David Warner,0,0,0
147,5,5,3,RR,DC,Sanju Samson,Rishabh Pant,0,0,0
148,5,5,4,RR,DC,Yashasvi Jaiswal,Prithvi Shaw,0,1,1
149,5,5,5,RR,DC,Jos Buttler,Prithvi Shaw,2,0,2
150,5,5,6,RR,DC,Yashasvi Jaiswal,David Warner,0,0,0
151,6,1,1,DC,KKR,Rishabh Pant,Andre Russell,2,0,2
152,6,1,2,DC,KKR,Rishabh Pant,Shreyas Iyer,1,0,1
153,6,1,3,DC,KKR,Prithvi Shaw,Rinku Singh,0,0,0
154,6,1,4,DC,KKR,Rishabh Pant,Andre Russell,4,0,4
155,6,1,5,DC,KKR,Prithvi Shaw,Shreyas Iyer,1,1,2
156,6,1,6,DC,KKR,Rishabh Pant,Rinku Singh,2,0,2
157,6,2,1,DC,KKR,Prithvi Shaw,Andre Russell,0,0,0
158,6,2,2,DC,KKR,Prithvi Shaw,Shreyas Iyer,0,0,0
159,6,2,3,DC,KKR,Rishabh Pant,Andre Russell,1,0,1
160,6,2,4,DC,KKR,Prithvi Shaw,Rinku Singh,0,0,0
161,6,2,5,DC,KKR,David Warner,Rinku Singh,1,0,1
162,6,2,6,DC,KKR,Prithvi Shaw,Shreyas Iyer,1,0,1
163,6,3,1,DC,KKR,David Warner,Rinku Singh,1,0,1
164,6,3,2,DC,KKR,David Warner,Rinku Singh,1,0,1
165,6,3,3,DC,KKR,David Warner,Andre Russell,2,0,2
166,6,3,4,DC,KKR,David Warner,Rinku Singh,0,0,0
167,6,3,5,DC,KKR,Prithvi Shaw,Rinku Singh,2,0,2
168,6,3,6,DC,KKR,Prithvi Shaw,Rinku Singh,0,0,0
169,6,4,1,DC,KKR,Rishabh Pant,Andre Russell,1,0,1
170,6,4,2,DC,KKR,Prithvi Shaw,Andre Russell,0,0,0
171,6,4,3,DC,KKR,David Warner,Shreyas Iyer,0,0,0
172,6,4,4,DC,KKR,Rishabh Pant,Andre Russell,1,0,1
173,6,4,5,DC,KKR,Rishabh Pant,Shreyas Iyer,0,0,0
174,6,4,6,DC,KKR,Prithvi Shaw,Shreyas Iyer,2,0,2
175,6,5,1,DC,KKR,Prithvi Shaw,Shreyas Iyer,0,0,0
176,6,5,2,DC,KKR,David Warner,Andre Russell,0,0,0
177,6,5,3,DC,KKR,David Warner,Rinku Singh,1,1,2
178,6,5,4,DC,KKR,Rishabh Pant,Shreyas Iyer,4,0,4
179,6,5,5,DC,KKR,David Warner,Rinku Singh,1,0,1
180,6,5,6,DC,KKR,Rishabh Pant,Andre Russell,4,0,4
181,7,1,1,RR,PBKS,Jos Buttler,Jitesh Sharma,0,0,0
182,7,1,2,RR,PBKS,Sanju Samson,Liam Livingstone,0,0,0
183,7,1,3,RR,PBKS,Sanju Samson,Liam Livingstone,0,0,0
184,7,1,4,RR,PBKS,Yashasvi Jaiswal,Liam Livingstone,1,0,1
185,7,1,5,RR,PBKS,Jos Buttler,Liam Livingstone,0,0,0
186,7,1,6,RR,PBKS,Sanju Samson,Jitesh Sharma,4,0,4
187,7,2,1,RR,PBKS,Yashasvi Jaiswal,Shikhar Dhawan,0,0,0
188,7,2,2,RR,PBKS,Sanju Samson,Shikhar Dhawan,4,0,4
189,7,2,3,RR,PBKS,Sanju Samson,Liam Livingstone,1,0,1
190,7,2,4,RR,PBKS,Sanju Samson,Jitesh Sharma,1,0,1
191,7,2,5,RR,PBKS,Sanju Samson,Shikhar Dhawan,6,0,6
192,7,2,6,RR,PBKS,Sanju Samson,Liam Livingstone,4,0,4
193,7,3,1,RR,PBKS,Sanju Samson,Liam Livingstone,4,0,4
194,7,3,2,RR,PBKS,Jos Buttler,Shikhar Dhawan,1,0,1
195,7,3,3,RR,PBKS,Sanju Samson,Jitesh Sharma,2,1,3
196,7,3,4,RR,PBKS,Yashasvi Jaiswal,Jitesh Sharma,6,0,6
197,7,3,5,RR,PBKS,Sanju Samson,Shikhar Dhawan,0,0,0
198,7,3,6,RR,PBKS,Yashasvi Jaiswal,Liam Livingstone,1,0,1
199,7,4,1,RR,PBKS,Sanju Samson,Liam Livingstone,1,0,1
200,7,4,2,RR,PBKS,Yashasvi Jaiswal,Jitesh Sharma,4,0,4
201,7,4,3,RR,PBKS,Yashasvi Jaiswal,Liam Livingstone,1,0,1
202,7,4,4,RR,PBKS,Jos Buttler,Jitesh Sharma,0,0,0
203,7,4,5,RR,PBKS,Yashasvi Jaiswal,Liam Livingstone,1,0,1
204,7,4,6,RR,PBKS,Sanju Samson,Shikhar Dhawan,0,0,0
205,7,5,1,RR,PBKS,Jos Buttler,Liam Livingstone,4,0,4
206,7,5,2,RR,PBKS,Jos Buttler,Jitesh Sharma,0,0,0
207,7,5,3,RR,PBKS,Jos Buttler,Jitesh Sharma,0,0,0
208,7,5,4,RR,PBKS,Jos Buttler,Shikhar Dhawan,1,0,1
209,7,5,5,RR,PBKS,Yashasvi Jaiswal,Shikhar Dhawan,6,0,6
210,7,5,6,RR,PBKS,Jos Buttler,Jitesh Sharma,1,0,1
211,8,1,1,GT,KKR,Wriddhiman Saha,Rinku Singh,4,0,4
212,8,1,2,GT,KKR,Wriddhiman Saha,Andre Russell,0,0,0
213,8,1,3,GT,KKR,David Miller,Rinku Singh,4,0,4
214,8,1,4,GT,KKR,Wriddhiman Saha,Shreyas Iyer,0,0,0
215,8,1,5,GT,KKR,Shubman Gill,Rinku Singh,0,0,0
216,8,1,6,GT,KKR,Wriddhiman Saha,Rinku Singh,1,0,1
217,8,2,1,GT,KKR,Wriddhiman Saha,Andre Russell,0,0,0
218,8,2,2,GT,KKR,David Miller,Rinku Singh,4,0,4
219,8,2,3,GT,KKR,Wriddhiman Saha,Andre Russell,4,0,4
220,8,2,4,GT,KKR,Wriddhiman Saha,Andre Russell,2,0,2
221,8,2,5,GT,KKR,Shubman Gill,Shreyas Iyer,1,0,1
222,8,2,6,GT,KKR,Wriddhiman Saha,Rinku Singh,1,0,1
223,8,3,1,GT,KKR,David Miller,Shreyas Iyer,1,0,1
224,8,3,2,GT,KKR,Shubman Gill,Andre Russell,0,0,0
225,8,3,3,GT,KKR,Wriddhiman Saha,Andre Russell,0,0,0
226,8,3,4,GT,KKR,David Miller,Andre Russell,0,0,0
227,8,3,5,GT,KKR,Shubman Gill,Shreyas Iyer,4,0,4
228,8,3,6,GT,KKR,Wriddhiman Saha,Andre Russell,0,0,0
229,8,4,1,GT,KKR,Shubman Gill,Shreyas Iyer,0,0,0
230,8,4,2,GT,KKR,Shubman Gill,Rinku Singh,0,0,0
231,8,4,3,GT,KKR,Wriddhiman Saha,Rinku Singh,4,1,5
232,8,4,4,GT,KKR,David Miller,Rinku Singh,0,1,1
233,8,4,5,GT,KKR,Wriddhiman Saha,Rinku Singh,6,0,6
234,8,4,6,GT,KKR,David Miller,Rinku Singh,1,1,2
235,8,5,1,GT,KKR,David Miller,Rinku Singh,0,0,0
236,8,5,2,GT,KKR,David Miller,Shreyas Iyer,1,0,1
237,8,5,3,GT,KKR,David Miller,Andre Russell,0,0,0
238,8,5,4,GT,KKR,David Miller,Shreyas Iyer,2,0,2
239,8,5,5,GT,KKR,Shubman Gill,Shreyas Iyer,1,0,1
240,8,5,6,GT,KKR,Shubman Gill,Rinku Singh,1,0,1
241,9,1,1,GT,MI,Shubman Gill,Ishan Kishan,1,0,1
242,9,1,2,GT,MI,David Miller,Rohit Sharma,0,0,0
243,9,1,3,GT,MI,Shubman Gill,Rohit Sharma,1,0,1
244,9,1,4,GT,MI,David Miller,Suryakumar Yadav,0,0,0
245,9,1,5,GT,MI,Shubman Gill,Rohit Sharma,6,0,6
246,9,1,6,GT,MI,David Miller,Ishan Kishan,1,0,1
247,9,2,1,GT,MI,Wriddhiman Saha,Ishan Kishan,1,0,1
248,9,2,2,GT,MI,David Miller,Ishan Kishan,0,1,1
249,9,2,3,GT,MI,David Miller,Ishan Kishan,0,0,0
250,9,2,4,GT,MI,Shubman Gill,Ishan Kishan,1,0,1
251,9,2,5,GT,MI,Shubman Gill,Suryakumar Yadav,1,0,1
252,9,2,6,GT,MI,Shubman Gill,Ishan Kishan,2,0,2
253,9,3,1,GT,MI,David Miller,Ishan Kishan,0,0,0
254,9,3,2,GT,MI,Shubman Gill,Suryakumar Yadav,0,0,0
255,9,3,3,GT,MI,Wriddhiman Saha,Rohit Sharma,1,0,1
256,9,3,4,GT,MI,Wriddhiman Saha,Ishan Kishan,0,0,0
257,9,3,5,GT,MI,David Miller,Rohit Sharma,0,0,0
258,9,3,6,GT,MI,Shubman Gill,Rohit Sharma,0,0,0
259,9,4,1,GT,MI,David Miller,Rohit Sharma,4,0,4
260,9,4,2,GT,MI,David Miller,Ishan Kishan,1,0,1
261,9,4,3,GT,MI,David Miller,Rohit Sharma,1,0,1
262,9,4,4,GT,MI,David Miller,Ishan Kishan,0,1,1
263,9,4,5,GT,MI,David Miller,Rohit Sharma,6,1,7
264,9,4,6,GT,MI,Shubman Gill,Suryakumar Yadav,2,0,2
265,9,5,1,GT,MI,Wriddhiman Saha,Ishan Kishan,2,0,2
266,9,5,2,GT,MI,Shubman Gill,Rohit Sharma,2,0,2
267,9,5,3,GT,MI,David Miller,Suryakumar Yadav,0,0,0
268,9,5,4,GT,MI,Wriddhiman Saha,Rohit Sharma,0,0,0
269,9,5,5,GT,MI,David Miller,Rohit Sharma,0,0,0
270,9,5,6,GT,MI,Wriddhiman Saha,Suryakumar Yadav,4,0,4
271,10,1,1,DC,MI,Prithvi Shaw,Suryakumar Yadav,1,0,1
272,10,1,2,DC,MI,Prithvi Shaw,Ishan Kishan,2,0,2
273,10,1,3,DC,MI,Rishabh Pant,Rohit Sharma,4,0,4
274,10,1,4,DC,MI,David Warner,Suryakumar Yadav,4,0,4
275,10,1,5,DC,MI,Rishabh Pant,Suryakumar Yadav,1,0,1
276,10,1,6,DC,MI,David Warner,Ishan Kishan,0,0,0
277,10,2,1,DC,MI,Rishabh Pant,Suryakumar Yadav,1,0,1
278,10,2,2,DC,MI,David Warner,Rohit Sharma,0,0,0
279,10,2,3,DC,MI,Rishabh Pant,Ishan Kishan,1,0,1
280,10,2,4,DC,MI,David Warner,Ishan Kishan,2,0,2
281,10,2,5,DC,MI,Rishabh Pant,Suryakumar Yadav,1,0,1
282,10,2,6,DC,MI,David Warner,Suryakumar Yadav,0,1,1
283,10,3,1,DC,MI,Rishabh Pant,Suryakumar Yadav,4,0,4
284,10,3,2,DC,MI,Prithvi Shaw,Ishan Kishan,2,0,2
285,10,3,3,DC,MI,David Warner,Ishan Kishan,6,0,6
286,10,3,4,DC,MI,Rishabh Pant,Suryakumar Yadav,0,0,0
287,10,3,5,DC,MI,David Warner,Suryakumar Yadav,0,0,0
288,10,3,6,DC,MI,David Warner,Rohit Sharma,1,0,1
289,10,4,1,DC,MI,Rishabh Pant,Suryakumar Yadav,0,0,0
290,10,4,2,DC,MI,Rishabh Pant,Suryakumar Yadav,1,0,1
291,10,4,3,DC,MI,Prithvi Shaw,Rohit Sharma,0,0,0
292,10,4,4,DC,MI,Rishabh Pant,Suryakumar Yadav,1,0,1
293,10,4,5,DC,MI,Prithvi Shaw,Rohit Sharma,2,0,2
294,10,4,6,DC,MI,David Warner,Suryakumar Yadav,4,1,5
295,10,5,1,DC,MI,Prithvi Shaw,Ishan Kishan,1,0,1
296,10,5,2,DC,MI,Rishabh Pant,Suryakumar Yadav,1,1,2
297,10,5,3,DC,MI,Rishabh Pant,Suryakumar Yadav,4,1,5
298,10,5,4,DC,MI,Prithvi Shaw,Rohit Sharma,2,1,3
299,10,5,5,DC,MI,Prithvi Shaw,Rohit Sharma,1,0,1
300,10,5,6,DC,MI,Rishabh Pant,Rohit Sharma,1,0,1
301,11,1,1,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
302,11,1,2,KKR,MI,Rinku Singh,Ishan Kishan,4,1,5
303,11,1,3,KKR,MI,Rinku Singh,Rohit Sharma,2,0,2
304,11,1,4,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
305,11,1,5,KKR,MI,Rinku Singh,Suryakumar Yadav,1,0,1
306,11,1,6,KKR,MI,Andre Russell,Suryakumar Yadav,4,1,5
307,11,2,1,KKR,MI,Andre Russell,Suryakumar Yadav,1,0,1
308,11,2,2,KKR,MI,Andre Russell,Ishan Kishan,0,0,0
309,11,2,3,KKR,MI,Shreyas Iyer,Ishan Kishan,1,1,2
310,11,2,4,KKR,MI,Rinku Singh,Ishan Kishan,1,0,1
311,11,2,5,KKR,MI,Shreyas Iyer,Rohit Sharma,4,0,4
312,11,2,6,KKR,MI,Shreyas Iyer,Ishan Kishan,0,0,0
313,11,3,1,KKR,MI,Andre Russell,Rohit Sharma,1,0,1
314,11,3,2,KKR,MI,Rinku Singh,Rohit Sharma,0,0,0
315,11,3,3,KKR,MI,Rinku Singh,Rohit Sharma,0,0,0
316,11,3,4,KKR,MI,Andre Russell,Ishan Kishan,2,1,3
317,11,3,5,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
318,11,3,6,KKR,MI,Andre Russell,Suryakumar Yadav,2,0,2
319,11,4,1,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
320,11,4,2,KKR,MI,Rinku Singh,Suryakumar Yadav,1,0,1
321,11,4,3,KKR,MI,Rinku Singh,Rohit Sharma,0,1,1
322,11,4,4,KKR,MI,Andre Russell,Rohit Sharma,0,0,0
323,11,4,5,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
324,11,4,6,KKR,MI,Shreyas Iyer,Rohit Sharma,1,0,1
325,11,5,1,KKR,MI,Andre Russell,Ishan Kishan,2,0,2
326,11,5,2,KKR,MI,Rinku Singh,Suryakumar Yadav,0,0,0
327,11,5,3,KKR,MI,Shreyas Iyer,Rohit Sharma,2,0,2
328,11,5,4,KKR,MI,Andre Russell,Suryakumar Yadav,0,1,1
329,11,5,5,KKR,MI,Andre Russell,Suryakumar Yadav,4,0,4
330,11,5,6,KKR,MI,Andre Russell,Rohit Sharma,0,0,0
331,12,1,1,MI,LSG,Ishan Kishan,Quinton de Kock,6,0,6
332,12,1,2,MI,LSG,Ishan Kishan,Quinton de Kock,1,0,1
333,12,1,3,MI,LSG,Rohit Sharma,Nicholas Pooran,6,0,6
334,12,1,4,MI,LSG,Ishan Kishan,Nicholas Pooran,0,0,0
335,12,1,5,MI,LSG,Ishan Kishan,KL Rahul,0,0,0
336,12,1,6,MI,LSG,Ishan Kishan,KL Rahul,2,0,2
337,12,2,1,MI,LSG,Ishan Kishan,Nicholas Pooran,1,0,1
338,12,2,2,MI,LSG,Suryakumar Yadav,KL Rahul,1,0,1
339,12,2,3,MI,LSG,Rohit Sharma,KL Rahul,1,0,1
340,12,2,4,MI,LSG,Rohit Sharma,Quinton de Kock,2,0,2
341,12,2,5,MI,LSG,Ishan Kishan,KL Rahul,4,0,4
342,12,2,6,MI,LSG,Rohit Sharma,Quinton de Kock,0,0,0
343,12,3,1,MI,LSG,Rohit Sharma,Quinton de Kock,1,0,1
344,12,3,2,MI,LSG,Ishan Kishan,Quinton de Kock,0,0,0
345,12,3,3,MI,LSG,Suryakumar Yadav,Quinton de Kock,0,0,0
346,12,3,4,MI,LSG,Ishan Kishan,Quinton de Kock,0,0,0
347,12,3,5,MI,LSG,Suryakumar Yadav,Nicholas Pooran,1,0,1
348,12,3,6,MI,LSG,Rohit Sharma,Nicholas Pooran,1,0,1
349,12,4,1,MI,LSG,Rohit Sharma,KL Rahul,0,0,0
350,12,4,2,MI,LSG,Rohit Sharma,KL Rahul,0,0,0
351,12,4,3,MI,LSG,Suryakumar Yadav,Nicholas Pooran,1,0,1
352,12,4,4,MI,LSG,Ishan Kishan,KL Rahul,1,0,1
353,12,4,5,MI,LSG,Ishan Kishan,Nicholas Pooran,1,0,1
354,12,4,6,MI,LSG,Ishan Kishan,Quinton de Kock,0,0,0
355,12,5,1,MI,LSG,Rohit Sharma,Quinton de Kock,2,0,2
356,12,5,2,MI,LSG,Ishan Kishan,Quinton de Kock,4,1,5
357,12,5,3,MI,LSG,Suryakumar Yadav,KL Rahul,6,0,6
358,12,5,4,MI,LSG,Suryakumar Yadav,KL Rahul,2,0,2
359,12,5,5,MI,LSG,Ishan Kishan,Quinton de Kock,1,0,1
360,12,5,6,MI,LSG,Ishan Kishan,Quinton de Kock,1,0,1
